Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Total_Amount,Month,Age_Group,Customer_Segment
42,2025-05-11,CUST3136,Male,65,Clothing,5,59.2,296.0,296.0,5,50+,0
43,2025-11-03,CUST7943,Male,39,Clothing,3,463.66,1390.98,1390.98,11,36-50,2
44,2025-05-15,CUST8804,Male,34,Clothing,3,176.4,529.2,529.2,5,26-35,0
45,2025-01-21,CUST7565,Female,22,Electronics,5,81.33,406.65,406.65,1,18-25,0
46,2025-11-25,CUST6984,Female,61,Beauty,1,232.34,232.34,232.34,11,50+,0
47,2025-06-16,CUST6142,Male,28,Clothing,2,40.39,80.78,80.78,6,26-35,0
48,2025-10-01,CUST5670,Female,47,Beauty,3,348.62,1045.86,1045.8600000000001,10,36-50,2
49,2025-03-30,CUST3190,Female,32,Clothing,2,453.3,906.6,906.6,3,26-35,2
50,2025-11-12,CUST3712,Female,44,Clothing,4,421.89,1687.56,1687.56,11,36-50,1
51,2025-01-14,CUST3192,Male,52,Electronics,1,81.14,81.14,81.14,1,50+,0
52,2025-08-30,CUST2248,Female,50,Home Decor,4,80.61,322.44,322.44,8,36-50,0
53,2025-09-22,CUST5033,Male,37,Home Decor,4,410.45,1641.8,1641.8,9,36-50,1
54,2025-12-12,CUST2997,Female,33,Electronics,4,463.64,1854.56,1854.56,12,26-35,1
55,2025-02-22,CUST4687,Male,51,Beauty,1,241.12,241.12,241.12,2,50+,0
56,2025-12-06,CUST5018,Male,19,Home Decor,1,259.51,259.51,259.51,12,18-25,0
57,2025-04-02,CUST2970,Female,52,Electronics,5,172.77,863.85,863.85,4,50+,2
58,2025-09-21,CUST9389,Female,57,Electronics,2,449.25,898.5,898.5,9,50+,2
59,2025-02-04,CUST6765,Male,45,Home Decor,2,329.55,659.1,659.1,2,36-50,2
60,2025-07-25,CUST2202,Female,64,Beauty,5,158.36,791.8000000000001,791.8000000000001,7,50+,2
61,2025-03-22,CUST9135,Female,56,Electronics,5,163.42,817.0999999999999,817.0999999999999,3,50+,2
62,2025-02-19,CUST6567,Female,23,Clothing,4,447.78,1791.12,1791.12,2,18-25,1
63,2025-12-26,CUST8667,Male,26,Beauty,5,26.54,132.7,132.7,12,26-35,0
64,2025-01-02,CUST6742,Male,37,Beauty,3,174.91,524.73,524.73,1,36-50,0
65,2025-02-23,CUST6788,Female,18,Home Decor,2,286.09,572.18,572.18,2,<18,0
66,2025-04-16,CUST6408,Female,25,Home Decor,5,91.14,455.7,455.7,4,18-25,0
67,2025-09-17,CUST9669,Female,40,Clothing,3,64.21,192.63,192.63,9,36-50,0
68,2025-11-06,CUST1922,Male,20,Electronics,3,411.33,1233.99,1233.99,11,18-25,2
69,2025-07-10,CUST1419,Male,21,Home Decor,3,449.31,1347.93,1347.93,7,18-25,2
70,2025-08-06,CUST3204,Female,42,Home Decor,3,415.33,1245.99,1245.99,8,36-50,2
71,2025-02-13,CUST2120,Female,64,Beauty,4,451.42,1805.68,1805.68,2,50+,1
72,2025-06-11,CUST1950,Female,55,Home Decor,3,285.49,856.47,856.47,6,50+,2
73,2025-07-21,CUST3336,Female,32,Home Decor,4,409.88,1639.52,1639.52,7,26-35,1
74,2025-09-27,CUST6373,Female,38,Home Decor,4,204.34,817.36,817.36,9,36-50,2
75,2025-12-17,CUST3243,Female,52,Home Decor,3,339.81,1019.43,1019.4300000000001,12,50+,2
76,2025-10-31,CUST3645,Male,63,Beauty,2,494.64,989.28,989.28,10,50+,2
77,2025-09-28,CUST5612,Female,69,Clothing,3,128.35,385.05,385.04999999999995,9,50+,0
78,2025-08-03,CUST2865,Male,31,Clothing,3,207.15,621.45,621.45,8,26-35,0
79,2025-09-09,CUST7028,Female,53,Electronics,3,250.42,751.26,751.26,9,50+,2
80,2025-07-09,CUST8326,Female,29,Home Decor,2,86.25,172.5,172.5,7,26-35,0
81,2025-10-23,CUST7371,Male,34,Beauty,1,58.9,58.9,58.9,10,26-35,0
82,2025-08-01,CUST7359,Male,56,Electronics,1,418.27,418.27,418.27,8,50+,0
83,2025-07-27,CUST8863,Male,26,Electronics,4,488.86,1955.44,1955.44,7,26-35,1
84,2025-08-25,CUST4228,Male,52,Clothing,4,214.27,857.08,857.08,8,50+,2
85,2025-12-04,CUST4719,Female,30,Beauty,2,62.07,124.14,124.14,12,26-35,0
86,2025-02-22,CUST3371,Male,32,Beauty,5,51.59,257.95000000000005,257.95000000000005,2,26-35,0
87,2025-10-07,CUST3891,Female,35,Beauty,1,447.83,447.83,447.83,10,26-35,0
88,2025-08-05,CUST4756,Male,68,Clothing,4,242.63,970.52,970.52,8,50+,2
89,2025-09-09,CUST5225,Female,50,Clothing,1,173.61,173.61,173.61,9,36-50,0
90,2025-07-07,CUST1094,Female,23,Clothing,2,248.7,497.4,497.4,7,18-25,0
91,2025-02-10,CUST3674,Female,44,Clothing,2,172.79,345.58,345.58,2,36-50,0
92,2025-06-06,CUST7898,Female,40,Clothing,5,254.74,1273.7,1273.7,6,36-50,2
93,2025-01-15,CUST1793,Female,44,Home Decor,5,432.59,2162.95,2162.95,1,36-50,1
94,2025-10-28,CUST3116,Female,51,Home Decor,2,304.3,608.6,608.6,10,50+,0
95,2025-03-06,CUST6779,Male,63,Beauty,4,353.43,1413.72,1413.72,3,50+,1
96,2025-12-11,CUST7166,Female,55,Electronics,1,195.04,195.04,195.04,12,50+,0
97,2025-11-23,CUST1814,Male,31,Beauty,3,374.48,1123.44,1123.44,11,26-35,2
98,2025-01-09,CUST1345,Male,53,Electronics,5,339.98,1699.9,1699.9,1,50+,1
99,2025-12-10,CUST9554,Female,25,Clothing,3,77.39,232.17,232.17000000000002,12,18-25,0
100,2025-05-09,CUST3443,Male,52,Electronics,4,294.87,1179.48,1179.48,5,50+,2
101,2025-05-16,CUST8783,Female,36,Beauty,5,143.24,716.2,716.2,5,36-50,2
102,2025-03-04,CUST1984,Male,47,Beauty,3,405.97,1217.91,1217.91,3,36-50,2
103,2025-05-19,CUST8790,Female,31,Electronics,4,224.45,897.8,897.8,5,26-35,2
104,2025-03-22,CUST1827,Male,37,Home Decor,1,497.45,497.45,497.45,3,36-50,0
105,2025-06-12,CUST4531,Female,66,Clothing,4,64.4,257.6,257.6,6,50+,0
106,2025-10-16,CUST8147,Female,42,Clothing,5,394.57,1972.85,1972.85,10,36-50,1
107,2025-09-18,CUST5451,Female,57,Beauty,2,343.38,686.76,686.76,9,50+,2
108,2025-08-19,CUST4876,Female,41,Home Decor,1,388.4,388.4,388.4,8,36-50,0
109,2025-02-10,CUST6959,Male,31,Electronics,3,167.61,502.83,502.83000000000004,2,26-35,0
110,2025-01-28,CUST1126,Female,43,Clothing,5,256.19,1280.95,1280.95,1,36-50,2
111,2025-05-15,CUST4177,Male,55,Home Decor,2,402.32,804.64,804.64,5,50+,2
112,2025-07-20,CUST9795,Male,40,Clothing,4,131.62,526.48,526.48,7,36-50,0
113,2025-11-24,CUST7024,Male,39,Home Decor,2,128.5,257.0,257.0,11,36-50,0
114,2025-09-25,CUST6109,Female,65,Home Decor,5,284.5,1422.5,1422.5,9,50+,1
115,2025-02-02,CUST5146,Male,36,Beauty,5,271.31,1356.55,1356.55,2,36-50,2
116,2025-02-17,CUST8196,Male,63,Clothing,2,155.49,310.98,310.98,2,50+,0
117,2025-03-03,CUST4368,Male,68,Electronics,4,163.08,652.32,652.32,3,50+,0
118,2025-08-04,CUST4797,Female,20,Beauty,2,153.37,306.74,306.74,8,18-25,0
119,2025-10-20,CUST2792,Female,59,Beauty,5,390.33,1951.65,1951.6499999999999,10,50+,1
120,2025-04-09,CUST6732,Male,36,Electronics,5,332.91,1664.5500000000002,1664.5500000000002,4,36-50,1
121,2025-06-21,CUST4476,Female,26,Beauty,3,419.56,1258.68,1258.68,6,26-35,2
122,2025-12-26,CUST4417,Female,45,Home Decor,3,488.23,1464.69,1464.69,12,36-50,1
123,2025-08-02,CUST2645,Male,37,Home Decor,1,247.6,247.6,247.6,8,36-50,0
124,2025-02-04,CUST4030,Male,62,Clothing,5,52.01,260.05,260.05,2,50+,0
125,2025-08-15,CUST3872,Female,24,Clothing,3,43.08,129.24,129.24,8,18-25,0
126,2025-04-11,CUST4072,Male,31,Electronics,2,161.92,323.84,323.84,4,26-35,0
127,2025-05-11,CUST2854,Female,26,Clothing,4,467.62,1870.48,1870.48,5,26-35,1
128,2025-09-14,CUST5021,Female,36,Home Decor,2,271.14,542.28,542.28,9,36-50,0
129,2025-01-05,CUST5662,Female,64,Electronics,4,150.46,601.84,601.84,1,50+,0
130,2025-08-06,CUST7514,Female,69,Electronics,3,211.6,634.8,634.8,8,50+,0
131,2025-09-12,CUST6031,Female,31,Clothing,1,307.33,307.33,307.33,9,26-35,0
132,2025-12-25,CUST3708,Female,55,Home Decor,2,333.42,666.84,666.84,12,50+,2
133,2025-10-10,CUST8112,Male,53,Electronics,2,93.88,187.76,187.76,10,50+,0
134,2025-07-26,CUST9393,Male,57,Home Decor,2,488.98,977.96,977.96,7,50+,2
135,2025-01-15,CUST4507,Female,34,Home Decor,4,281.49,1125.96,1125.96,1,26-35,2
136,2025-12-12,CUST7456,Female,47,Home Decor,3,85.13,255.39,255.39,12,36-50,0
137,2025-02-11,CUST5212,Female,26,Clothing,2,448.94,897.88,897.88,2,26-35,2
138,2025-06-28,CUST8970,Male,50,Beauty,2,55.83,111.66,111.66,6,36-50,0
139,2025-03-04,CUST9766,Female,69,Beauty,1,455.71,455.71,455.71,3,50+,0
140,2025-12-18,CUST1536,Male,42,Electronics,1,498.35,498.35,498.35,12,36-50,0
141,2025-08-19,CUST2625,Female,31,Home Decor,3,356.21,1068.63,1068.6299999999999,8,26-35,2
142,2025-08-29,CUST8973,Female,28,Clothing,3,389.81,1169.43,1169.43,8,26-35,2
143,2025-02-21,CUST9577,Male,52,Home Decor,5,181.91,909.55,909.55,2,50+,2
144,2025-04-06,CUST9070,Male,58,Home Decor,1,471.96,471.96,471.96,4,50+,0
145,2025-08-10,CUST9666,Female,31,Clothing,5,274.26,1371.3,1371.3,8,26-35,2
146,2025-08-19,CUST9609,Female,47,Beauty,4,371.55,1486.2,1486.2,8,36-50,1
147,2025-08-25,CUST7490,Female,58,Home Decor,5,463.57,2317.85,2317.85,8,50+,1
148,2025-05-23,CUST4600,Male,21,Home Decor,2,488.09,976.18,976.18,5,18-25,2
149,2025-06-20,CUST7783,Male,21,Beauty,5,419.94,2099.7,2099.7,6,18-25,1
150,2025-01-29,CUST5971,Male,45,Clothing,3,165.45,496.35,496.34999999999997,1,36-50,0
151,2025-02-05,CUST2205,Male,25,Electronics,4,483.94,1935.76,1935.76,2,18-25,1
152,2025-01-13,CUST2990,Male,19,Beauty,2,321.5,643.0,643.0,1,18-25,0
153,2025-06-09,CUST6299,Male,58,Electronics,5,466.71,2333.55,2333.5499999999997,6,50+,1
154,2025-11-23,CUST4572,Female,63,Electronics,4,344.53,1378.12,1378.12,11,50+,2
155,2025-07-06,CUST6975,Female,39,Beauty,4,167.47,669.88,669.88,7,36-50,2
156,2025-08-31,CUST7320,Male,58,Home Decor,2,197.61,395.22,395.22,8,50+,0
157,2025-03-27,CUST5380,Female,33,Electronics,5,284.23,1421.15,1421.15,3,26-35,1
158,2025-10-11,CUST5757,Female,46,Electronics,4,399.21,1596.84,1596.84,10,36-50,1
159,2025-03-07,CUST3713,Male,66,Clothing,4,172.63,690.52,690.52,3,50+,2
160,2025-06-19,CUST6588,Female,65,Home Decor,1,298.27,298.27,298.27,6,50+,0
161,2025-02-14,CUST1966,Male,47,Electronics,4,185.9,743.6,743.6,2,36-50,2
162,2025-03-03,CUST5944,Male,29,Clothing,1,411.57,411.57,411.57,3,26-35,0
163,2025-05-14,CUST4432,Female,52,Home Decor,5,244.03,1220.15,1220.15,5,50+,2
164,2025-10-11,CUST1688,Male,28,Beauty,5,56.83,284.15,284.15,10,26-35,0
165,2025-01-28,CUST5243,Male,63,Beauty,5,99.71,498.55,498.54999999999995,1,50+,0
166,2025-04-18,CUST4701,Male,67,Clothing,3,49.33,147.99,147.99,4,50+,0
167,2025-02-13,CUST9533,Male,38,Beauty,5,259.67,1298.35,1298.3500000000001,2,36-50,2
168,2025-12-06,CUST6182,Male,38,Electronics,4,71.04,284.16,284.16,12,36-50,0
169,2025-10-13,CUST7704,Male,22,Home Decor,2,74.79,149.58,149.58,10,18-25,0
170,2025-11-27,CUST5422,Male,65,Electronics,1,471.7,471.7,471.7,11,50+,0
171,2025-05-08,CUST2759,Male,37,Electronics,3,438.87,1316.61,1316.6100000000001,5,36-50,2
172,2025-12-14,CUST3482,Female,54,Beauty,5,237.0,1185.0,1185.0,12,50+,2
173,2025-08-19,CUST9058,Female,20,Electronics,5,493.19,2465.95,2465.95,8,18-25,1
174,2025-07-09,CUST1951,Female,61,Beauty,2,20.09,40.18,40.18,7,50+,0
175,2025-08-13,CUST9914,Male,50,Home Decor,2,314.71,629.42,629.42,8,36-50,0
176,2025-10-10,CUST3079,Male,26,Home Decor,3,315.89,947.67,947.67,10,26-35,2
177,2025-05-01,CUST3717,Female,26,Electronics,1,239.57,239.57,239.57,5,26-35,0
178,2025-04-26,CUST5524,Female,21,Clothing,5,210.54,1052.7,1052.7,4,18-25,2
179,2025-08-21,CUST9477,Female,52,Beauty,3,238.58,715.74,715.74,8,50+,2
180,2025-09-16,CUST8311,Male,34,Beauty,4,219.18,876.72,876.72,9,26-35,2
181,2025-12-25,CUST8186,Female,51,Electronics,4,370.64,1482.56,1482.56,12,50+,1
182,2025-07-17,CUST3065,Female,41,Beauty,3,84.97,254.91,254.91,7,36-50,0
183,2025-05-17,CUST1768,Male,49,Beauty,5,114.87,574.35,574.35,5,36-50,0
184,2025-11-14,CUST6490,Female,18,Clothing,3,106.65,319.95000000000005,319.95000000000005,11,<18,0
185,2025-06-14,CUST7645,Male,25,Clothing,5,145.99,729.95,729.95,6,18-25,2
186,2025-08-13,CUST6083,Male,62,Electronics,2,272.12,544.24,544.24,8,50+,0
187,2025-11-03,CUST6232,Male,40,Clothing,3,73.38,220.14,220.14,11,36-50,0
188,2025-08-22,CUST6797,Female,64,Electronics,5,436.72,2183.6000000000004,2183.6000000000004,8,50+,1
189,2025-06-21,CUST5926,Female,57,Home Decor,3,162.73,488.19,488.18999999999994,6,50+,0
190,2025-06-01,CUST7016,Male,29,Electronics,3,98.02,294.06,294.06,6,26-35,0
191,2025-11-11,CUST4335,Female,29,Home Decor,5,344.3,1721.5,1721.5,11,26-35,1
192,2025-06-09,CUST9038,Female,63,Electronics,5,38.28,191.4,191.4,6,50+,0
193,2025-04-06,CUST5873,Female,64,Beauty,1,317.58,317.58,317.58,4,50+,0
194,2025-08-21,CUST2481,Female,32,Clothing,3,355.14,1065.42,1065.42,8,26-35,2
195,2025-06-29,CUST7305,Male,58,Home Decor,4,123.16,492.64,492.64,6,50+,0
196,2025-04-23,CUST4451,Female,36,Electronics,3,40.14,120.42,120.42,4,36-50,0
197,2025-11-14,CUST1054,Male,43,Clothing,3,194.55,583.6500000000001,583.6500000000001,11,36-50,0
198,2025-02-21,CUST8643,Male,69,Electronics,5,67.33,336.65,336.65,2,50+,0
199,2025-09-25,CUST4462,Female,46,Clothing,3,75.91,227.73,227.73,9,36-50,0
200,2025-10-22,CUST1832,Male,39,Clothing,3,142.05,426.15,426.15000000000003,10,36-50,0
201,2025-04-23,CUST6954,Female,57,Electronics,4,161.82,647.28,647.28,4,50+,0
202,2025-04-11,CUST9519,Female,38,Home Decor,5,274.39,1371.9499999999998,1371.9499999999998,4,36-50,2
203,2025-04-23,CUST8221,Male,68,Home Decor,3,345.63,1036.89,1036.8899999999999,4,50+,2
204,2025-03-22,CUST4310,Male,55,Beauty,2,304.53,609.06,609.06,3,50+,0
205,2025-07-06,CUST4300,Male,37,Clothing,1,91.21,91.21,91.21,7,36-50,0
206,2025-04-23,CUST7722,Male,46,Beauty,4,102.6,410.4,410.4,4,36-50,0
207,2025-01-02,CUST8218,Female,68,Beauty,3,441.81,1325.43,1325.43,1,50+,2
208,2025-05-10,CUST8776,Female,21,Electronics,2,288.01,576.02,576.02,5,18-25,0
209,2025-08-08,CUST4675,Female,24,Electronics,3,437.57,1312.71,1312.71,8,18-25,2
210,2025-02-23,CUST4054,Male,45,Electronics,3,198.34,595.02,595.02,2,36-50,0
211,2025-12-09,CUST8970,Male,45,Clothing,5,314.91,1574.5500000000002,1574.5500000000002,12,36-50,1
212,2025-08-12,CUST3143,Male,21,Electronics,5,271.36,1356.8000000000002,1356.8000000000002,8,18-25,2
213,2025-08-13,CUST6207,Female,39,Electronics,5,173.18,865.9000000000001,865.9000000000001,8,36-50,2
214,2025-05-06,CUST3538,Male,29,Clothing,2,245.56,491.12,491.12,5,26-35,0
215,2025-05-10,CUST5547,Female,62,Clothing,3,261.2,783.5999999999999,783.5999999999999,5,50+,2
216,2025-02-22,CUST6619,Male,20,Home Decor,1,116.37,116.37,116.37,2,18-25,0
217,2025-06-21,CUST9356,Female,39,Electronics,4,171.2,684.8,684.8,6,36-50,2
218,2025-08-06,CUST7612,Female,61,Electronics,5,399.88,1999.4,1999.4,8,50+,1
219,2025-06-09,CUST6005,Male,19,Electronics,5,459.58,2297.9,2297.9,6,18-25,1
220,2025-07-17,CUST1822,Male,41,Home Decor,3,192.7,578.0999999999999,578.0999999999999,7,36-50,0
221,2025-09-04,CUST1943,Female,51,Electronics,3,167.35,502.05,502.04999999999995,9,50+,0
222,2025-11-20,CUST7150,Female,44,Home Decor,2,113.69,227.38,227.38,11,36-50,0
223,2025-07-22,CUST5425,Male,58,Beauty,2,345.68,691.36,691.36,7,50+,2
224,2025-07-03,CUST9966,Male,18,Home Decor,5,175.09,875.45,875.45,7,<18,2
225,2025-05-03,CUST3198,Female,25,Beauty,3,494.12,1482.36,1482.3600000000001,5,18-25,1
226,2025-09-12,CUST5242,Male,40,Electronics,1,176.33,176.33,176.33,9,36-50,0
227,2025-10-21,CUST4695,Female,55,Beauty,4,209.19,836.76,836.76,10,50+,2
228,2025-10-07,CUST4452,Female,23,Home Decor,3,309.6,928.8,928.8000000000001,10,18-25,2
229,2025-11-21,CUST2308,Male,39,Clothing,3,404.81,1214.43,1214.43,11,36-50,2
230,2025-04-08,CUST5177,Male,42,Beauty,2,245.37,490.74,490.74,4,36-50,0
231,2025-07-17,CUST9705,Male,35,Beauty,4,222.87,891.48,891.48,7,26-35,2
232,2025-08-28,CUST7852,Male,34,Electronics,5,497.91,2489.55,2489.55,8,26-35,1
233,2025-05-24,CUST7035,Male,29,Home Decor,3,25.04,75.12,75.12,5,26-35,0
234,2025-04-07,CUST4594,Female,23,Beauty,5,449.63,2248.15,2248.15,4,18-25,1
235,2025-07-20,CUST5841,Female,43,Beauty,3,91.59,274.77,274.77,7,36-50,0
236,2025-05-04,CUST2409,Male,44,Beauty,5,397.24,1986.2,1986.2,5,36-50,1
237,2025-07-06,CUST5566,Male,25,Beauty,4,316.61,1266.44,1266.44,7,18-25,2
238,2025-11-22,CUST5491,Male,36,Clothing,2,184.09,368.18,368.18,11,36-50,0
239,2025-12-15,CUST2555,Female,59,Home Decor,4,439.46,1757.84,1757.84,12,50+,1
240,2025-09-16,CUST1804,Male,18,Electronics,1,26.2,26.2,26.2,9,<18,0
241,2025-05-28,CUST2279,Male,46,Electronics,2,128.81,257.62,257.62,5,36-50,0
242,2025-09-09,CUST8083,Female,62,Clothing,4,292.11,1168.44,1168.44,9,50+,2
243,2025-12-12,CUST6986,Female,66,Home Decor,1,188.74,188.74,188.74,12,50+,0
244,2025-05-27,CUST6619,Male,52,Beauty,3,312.98,938.94,938.94,5,50+,2
245,2025-05-28,CUST2387,Male,57,Clothing,3,31.57,94.71,94.71000000000001,5,50+,0
246,2025-12-18,CUST3679,Male,31,Home Decor,5,75.9,379.5,379.5,12,26-35,0
247,2025-07-18,CUST3106,Female,52,Beauty,2,81.01,162.02,162.02,7,50+,0
248,2025-11-04,CUST9173,Male,65,Clothing,3,110.86,332.58,332.58,11,50+,0
249,2025-05-08,CUST5223,Male,62,Home Decor,2,240.48,480.96,480.96,5,50+,0
250,2025-02-08,CUST5831,Male,37,Electronics,3,381.02,1143.06,1143.06,2,36-50,2
251,2025-12-04,CUST3768,Female,66,Electronics,5,454.66,2273.3,2273.3,12,50+,1
252,2025-12-26,CUST4186,Female,30,Home Decor,4,420.98,1683.92,1683.92,12,26-35,1
253,2025-05-09,CUST3573,Male,55,Electronics,5,114.51,572.5500000000001,572.5500000000001,5,50+,0
254,2025-09-24,CUST3599,Male,66,Home Decor,1,231.75,231.75,231.75,9,50+,0
255,2025-05-31,CUST5033,Female,63,Beauty,3,115.72,347.16,347.15999999999997,5,50+,0
256,2025-10-25,CUST9428,Female,66,Home Decor,1,146.95,146.95,146.95,10,50+,0
257,2025-04-09,CUST2304,Female,25,Beauty,1,261.7,261.7,261.7,4,18-25,0
258,2025-09-20,CUST8368,Female,60,Clothing,2,52.69,105.38,105.38,9,50+,0
259,2025-09-09,CUST6877,Female,37,Home Decor,3,124.72,374.16,374.15999999999997,9,36-50,0
260,2025-05-24,CUST2301,Female,50,Clothing,1,468.98,468.98,468.98,5,36-50,0
261,2025-12-12,CUST3541,Female,43,Electronics,4,243.74,974.96,974.96,12,36-50,2
262,2025-04-22,CUST3051,Female,56,Beauty,1,233.79,233.79,233.79,4,50+,0
263,2025-03-01,CUST7809,Female,38,Home Decor,4,26.99,107.96,107.96,3,36-50,0
264,2025-01-02,CUST9633,Male,66,Clothing,2,138.75,277.5,277.5,1,50+,0
265,2025-10-31,CUST9996,Male,59,Beauty,1,435.82,435.82,435.82,10,50+,0
266,2025-09-11,CUST1074,Male,60,Beauty,5,99.02,495.1,495.09999999999997,9,50+,0
267,2025-05-20,CUST7981,Female,58,Electronics,2,219.26,438.52,438.52,5,50+,0
268,2025-02-06,CUST6475,Male,26,Electronics,4,26.88,107.52,107.52,2,26-35,0
269,2025-06-09,CUST9232,Female,41,Beauty,2,249.6,499.2,499.2,6,36-50,0
270,2025-01-09,CUST8184,Female,54,Beauty,1,30.09,30.09,30.09,1,50+,0
271,2025-08-21,CUST6796,Male,66,Home Decor,3,413.41,1240.23,1240.23,8,50+,2
272,2025-04-09,CUST8141,Female,58,Beauty,3,415.93,1247.79,1247.79,4,50+,2
273,2025-05-27,CUST2622,Male,34,Home Decor,4,398.12,1592.48,1592.48,5,26-35,1
274,2025-10-31,CUST9041,Male,41,Beauty,4,156.01,624.04,624.04,10,36-50,0
275,2025-07-27,CUST1341,Male,38,Electronics,3,421.87,1265.61,1265.6100000000001,7,36-50,2
276,2025-05-11,CUST3074,Female,68,Home Decor,4,280.64,1122.56,1122.56,5,50+,2
277,2025-06-01,CUST8992,Male,56,Clothing,2,199.43,398.86,398.86,6,50+,0
278,2025-02-23,CUST1645,Female,58,Electronics,5,320.16,1600.8000000000002,1600.8000000000002,2,50+,1
279,2025-04-30,CUST5263,Male,56,Home Decor,5,25.92,129.60000000000002,129.60000000000002,4,50+,0
280,2025-06-10,CUST9801,Male,30,Home Decor,2,88.62,177.24,177.24,6,26-35,0
281,2025-04-26,CUST7136,Male,28,Clothing,5,376.3,1881.5,1881.5,4,26-35,1
282,2025-03-16,CUST9646,Female,63,Home Decor,1,137.2,137.2,137.2,3,50+,0
283,2025-04-23,CUST3969,Female,36,Beauty,2,307.04,614.08,614.08,4,36-50,0
284,2025-04-14,CUST4028,Female,28,Clothing,4,204.85,819.4,819.4,4,26-35,2
285,2025-12-06,CUST8643,Male,30,Electronics,2,430.31,860.62,860.62,12,26-35,2
286,2025-09-11,CUST3681,Male,63,Electronics,3,477.16,1431.48,1431.48,9,50+,1
